date_time,RME_176,RMESP
1998-01-16 12:00:00,566.94,571.66
1998-01-16 13:00:00,595.79,595.79
1998-01-16 14:00:00,620.04,615.56
1998-01-16 15:00:00,629.1,629.1
1998-01-16 16:00:00,638.27,638.27
1998-01-16 17:00:00,647.56,647.56
1998-01-16 18:00:00,656.96,652.25
1998-01-16 19:00:00,647.56,647.56
1998-01-16 20:00:00,642.9,638.27
1998-01-16 21:00:00,638.27,638.27
1998-01-16 22:00:00,633.67,638.27
1998-01-16 23:00:00,624.56,620.04
1998-01-17 00:00:00,642.9,642.9
1998-01-17 01:00:00,666.49,666.49
1998-01-17 02:00:00,676.15,671.3
1998-01-17 03:00:00,681.02,676.15
1998-01-17 04:00:00,685.92,681.02
1998-01-17 05:00:00,685.92,681.02
1998-01-17 06:00:00,681.02,685.92
1998-01-17 07:00:00,666.49,671.3
1998-01-17 08:00:00,647.56,656.96
1998-01-17 09:00:00,638.27,647.56
1998-01-17 10:00:00,624.56,624.56
1998-01-17 11:00:00,595.79,595.79
1998-01-17 12:00:00,539.37,548.42
1998-01-17 13:00:00,448.41,456.06
1998-01-17 14:00:00,415.41,418.96
1998-01-17 15:00:00,401.46,408.38
1998-01-17 16:00:00,394.65,408.38
1998-01-17 17:00:00,346.84,359.05
1998-01-17 18:00:00,309.75,323.56
1998-01-17 19:00:00,309.75,323.56
1998-01-17 20:00:00,332.12,326.39
1998-01-17 21:00:00,346.84,340.88
1998-01-17 22:00:00,335.02,337.94
1998-01-17 23:00:00,355.96,365.29
1998-01-18 00:00:00,362.16,362.16
1998-01-18 01:00:00,340.88,329.24
1998-01-18 02:00:00,384.64,340.88
1998-01-18 03:00:00,517.34,496.12
1998-01-18 04:00:00,600.73,590.89
1998-01-18 05:00:00,666.49,661.71
1998-01-18 06:00:00,638.27,642.9
1998-01-18 07:00:00,605.7,581.2
1998-01-18 08:00:00,562.26,566.94
1998-01-18 09:00:00,534.9,571.66
1998-01-18 10:00:00,543.88,553.0
1998-01-18 11:00:00,576.41,557.61
1998-01-18 12:00:00,610.71,615.56
1998-01-18 13:00:00,576.41,576.41
1998-01-18 14:00:00,513.03,521.68
1998-01-18 15:00:00,553.0,539.37
1998-01-18 16:00:00,526.05,521.68
1998-01-18 17:00:00,500.3,483.78
1998-01-18 18:00:00,504.51,467.76
1998-01-18 19:00:00,534.9,500.3
1998-01-18 20:00:00,553.0,543.88
1998-01-18 21:00:00,543.88,548.42
1998-01-18 22:00:00,539.37,517.34
1998-01-18 23:00:00,539.37,517.34
1998-01-19 00:00:00,534.9,539.37
1998-01-19 01:00:00,566.94,571.66
1998-01-19 02:00:00,571.66,571.66
1998-01-19 03:00:00,491.98,496.12
1998-01-19 04:00:00,483.78,483.78
1998-01-19 05:00:00,467.76,467.76
1998-01-19 06:00:00,452.22,456.06
1998-01-19 07:00:00,440.87,444.63
1998-01-19 08:00:00,429.79,429.79
1998-01-19 09:00:00,408.38,411.88
1998-01-19 10:00:00,401.46,404.91
1998-01-19 11:00:00,398.05,401.46
1998-01-19 12:00:00,387.95,387.95
1998-01-19 13:00:00,378.09,384.64
1998-01-19 14:00:00,368.45,378.09
1998-01-19 15:00:00,374.85,387.95
1998-01-19 16:00:00,374.85,387.95
1998-01-19 17:00:00,374.85,387.95
1998-01-19 18:00:00,365.29,378.09
1998-01-19 19:00:00,371.64,374.85
1998-01-19 20:00:00,374.85,374.85
1998-01-19 21:00:00,368.45,371.64
1998-01-19 22:00:00,362.16,368.45
1998-01-19 23:00:00,346.84,355.96
1998-01-20 00:00:00,346.84,352.9
1998-01-20 01:00:00,346.84,352.9
1998-01-20 02:00:00,329.24,340.88
1998-01-20 03:00:00,320.76,335.02
1998-01-20 04:00:00,335.02,337.94
1998-01-20 05:00:00,337.94,337.94
1998-01-20 06:00:00,329.24,332.12
1998-01-20 07:00:00,329.24,332.12
1998-01-20 08:00:00,329.24,329.24
1998-01-20 09:00:00,329.24,329.24
1998-01-20 10:00:00,335.02,340.88
1998-01-20 11:00:00,349.86,371.64
1998-01-20 12:00:00,349.86,401.46
1998-01-20 13:00:00,349.86,418.96
1998-01-20 14:00:00,335.02,426.15
1998-01-20 15:00:00,309.75,365.29
1998-01-20 16:00:00,309.75,346.84
1998-01-20 17:00:00,320.76,340.88
1998-01-20 18:00:00,329.24,340.88
1998-01-20 19:00:00,317.97,320.76
1998-01-20 20:00:00,293.88,286.23
1998-01-20 21:00:00,281.23,266.7
1998-01-20 22:00:00,271.47,246.2
1998-01-20 23:00:00,273.88,244.01
1998-01-21 00:00:00,271.47,255.13
1998-01-21 01:00:00,276.31,266.7
1998-01-21 02:00:00,276.31,264.35
1998-01-21 03:00:00,276.31,281.23
1998-01-21 04:00:00,278.76,278.76
1998-01-21 05:00:00,281.23,264.35
1998-01-21 06:00:00,276.31,278.76
1998-01-21 07:00:00,269.08,271.47
1998-01-21 08:00:00,276.31,266.7
1998-01-21 09:00:00,299.08,291.31
1998-01-21 10:00:00,315.21,293.88
1998-01-21 11:00:00,329.24,307.05
1998-01-21 12:00:00,343.85,378.09
1998-01-21 13:00:00,335.02,352.9
1998-01-21 14:00:00,312.47,329.24
1998-01-21 15:00:00,326.39,352.9
1998-01-21 16:00:00,304.37,315.21
1998-01-21 17:00:00,288.76,286.23
1998-01-21 18:00:00,296.47,293.88
1998-01-21 19:00:00,335.02,335.02
1998-01-21 20:00:00,332.12,335.02
1998-01-21 21:00:00,323.56,329.24
1998-01-21 22:00:00,329.24,329.24
1998-01-21 23:00:00,343.85,349.86
1998-01-22 00:00:00,374.85,374.85
1998-01-22 01:00:00,381.35,381.35
1998-01-22 02:00:00,391.29,391.29
1998-01-22 03:00:00,394.65,394.65
1998-01-22 04:00:00,401.46,401.46
1998-01-22 05:00:00,404.91,404.91
1998-01-22 06:00:00,408.38,408.38
1998-01-22 07:00:00,411.88,415.41
1998-01-22 08:00:00,418.96,422.54
1998-01-22 09:00:00,429.79,429.79
1998-01-22 10:00:00,444.63,471.72
1998-01-22 11:00:00,471.72,487.86
1998-01-22 12:00:00,479.73,496.12
1998-01-22 13:00:00,491.98,521.68
1998-01-22 14:00:00,491.98,508.75
1998-01-22 15:00:00,487.86,504.51
1998-01-22 16:00:00,491.98,508.75
1998-01-22 17:00:00,483.78,496.12
1998-01-22 18:00:00,479.73,483.78
1998-01-22 19:00:00,483.78,483.78
1998-01-22 20:00:00,491.98,491.98
1998-01-22 21:00:00,496.12,496.12
1998-01-22 22:00:00,500.3,500.3
1998-01-22 23:00:00,504.51,504.51
1998-01-23 00:00:00,508.75,508.75
1998-01-23 01:00:00,513.03,513.03
1998-01-23 02:00:00,517.34,517.34
1998-01-23 03:00:00,530.46,526.05
1998-01-23 04:00:00,548.42,543.88
1998-01-23 05:00:00,566.94,566.94
1998-01-23 06:00:00,576.41,576.41
1998-01-23 07:00:00,586.03,586.03
1998-01-23 08:00:00,581.2,571.66
1998-01-23 09:00:00,605.7,595.79
1998-01-23 10:00:00,615.56,600.73
1998-01-23 11:00:00,671.3,671.3
1998-01-23 12:00:00,642.9,629.1
1998-01-23 13:00:00,642.9,685.92
1998-01-23 14:00:00,615.56,624.56
1998-01-23 15:00:00,590.89,605.7
1998-01-23 16:00:00,543.88,548.42
1998-01-23 17:00:00,508.75,508.75
1998-01-23 18:00:00,539.37,543.88
1998-01-23 19:00:00,566.94,562.26
1998-01-23 20:00:00,553.0,553.0
1998-01-23 21:00:00,557.61,548.42
1998-01-23 22:00:00,553.0,548.42
1998-01-23 23:00:00,534.9,543.88
1998-01-24 00:00:00,448.41,459.93
1998-01-24 01:00:00,437.15,452.22
1998-01-24 02:00:00,437.15,444.63
1998-01-24 03:00:00,429.79,440.87
1998-01-24 04:00:00,422.54,429.79
1998-01-24 05:00:00,418.96,418.96
1998-01-24 06:00:00,408.38,415.41
1998-01-24 07:00:00,415.41,415.41
1998-01-24 08:00:00,418.96,418.96
1998-01-24 09:00:00,418.96,422.54
1998-01-24 10:00:00,426.15,437.15
1998-01-24 11:00:00,401.46,418.96
1998-01-24 12:00:00,398.05,422.54
1998-01-24 13:00:00,391.29,418.96
1998-01-24 14:00:00,408.38,448.41
1998-01-24 15:00:00,422.54,444.63
1998-01-24 16:00:00,411.88,422.54
1998-01-24 17:00:00,411.88,404.91
1998-01-24 18:00:00,415.41,404.91
1998-01-24 19:00:00,422.54,422.54
1998-01-24 20:00:00,433.46,440.87
1998-01-24 21:00:00,448.41,459.93
1998-01-24 22:00:00,459.93,471.72
1998-01-24 23:00:00,471.72,479.73
1998-01-25 00:00:00,459.93,467.76
1998-01-25 01:00:00,463.83,475.71
1998-01-25 02:00:00,467.76,479.73
1998-01-25 03:00:00,479.73,491.98
1998-01-25 04:00:00,459.93,471.72
1998-01-25 05:00:00,459.93,467.76
1998-01-25 06:00:00,471.72,475.71
1998-01-25 07:00:00,463.83,475.71
1998-01-25 08:00:00,459.93,459.93
1998-01-25 09:00:00,444.63,437.15
1998-01-25 10:00:00,444.63,429.79
1998-01-25 11:00:00,459.93,471.72
1998-01-25 12:00:00,459.93,483.78
1998-01-25 13:00:00,437.15,448.41
1998-01-25 14:00:00,398.05,401.46
1998-01-25 15:00:00,398.05,401.46
1998-01-25 16:00:00,378.09,384.64
1998-01-25 17:00:00,359.05,365.29
1998-01-25 18:00:00,346.84,346.84
1998-01-25 19:00:00,281.23,264.35
1998-01-25 20:00:00,259.7,248.4
1998-01-25 21:00:00,264.35,262.02
1998-01-25 22:00:00,262.02,257.41
1998-01-25 23:00:00,301.72,296.47
1998-01-26 00:00:00,278.76,271.47
1998-01-26 01:00:00,411.88,408.38
1998-01-26 02:00:00,530.46,521.68
1998-01-26 03:00:00,452.22,448.41
1998-01-26 04:00:00,452.22,448.41
1998-01-26 05:00:00,429.79,429.79
1998-01-26 06:00:00,491.98,491.98
1998-01-26 07:00:00,467.76,463.83
1998-01-26 08:00:00,433.46,437.15
1998-01-26 09:00:00,398.05,401.46
1998-01-26 10:00:00,411.88,415.41
1998-01-26 11:00:00,526.05,548.42
1998-01-26 12:00:00,576.41,605.7
1998-01-26 13:00:00,600.73,629.1
1998-01-26 14:00:00,576.41,600.73
1998-01-26 15:00:00,521.68,539.37
1998-01-26 16:00:00,433.46,448.41
1998-01-26 17:00:00,429.79,422.54
1998-01-26 18:00:00,418.96,422.54
1998-01-26 19:00:00,394.65,394.65
1998-01-26 20:00:00,444.63,444.63
1998-01-26 21:00:00,479.73,483.78
1998-01-26 22:00:00,496.12,500.3
1998-01-26 23:00:00,415.41,418.96
1998-01-27 00:00:00,459.93,459.93
1998-01-27 01:00:00,418.96,415.41
1998-01-27 02:00:00,452.22,452.22
1998-01-27 03:00:00,508.75,513.03
1998-01-27 04:00:00,483.78,483.78
1998-01-27 05:00:00,452.22,452.22
1998-01-27 06:00:00,467.76,471.72
1998-01-27 07:00:00,483.78,491.98
1998-01-27 08:00:00,491.98,500.3
1998-01-27 09:00:00,487.86,496.12
1998-01-27 10:00:00,508.75,521.68
1998-01-27 11:00:00,521.68,553.0
1998-01-27 12:00:00,539.37,581.2
1998-01-27 13:00:00,539.37,595.79
1998-01-27 14:00:00,539.37,571.66
1998-01-27 15:00:00,526.05,562.26
1998-01-27 16:00:00,459.93,479.73
1998-01-27 17:00:00,483.78,500.3
1998-01-27 18:00:00,444.63,456.06
1998-01-27 19:00:00,433.46,387.95
1998-01-27 20:00:00,422.54,394.65
1998-01-27 21:00:00,429.79,415.41
1998-01-27 22:00:00,433.46,429.79
1998-01-27 23:00:00,422.54,418.96
1998-01-28 00:00:00,422.54,422.54
1998-01-28 01:00:00,404.91,398.05
1998-01-28 02:00:00,422.54,415.41
1998-01-28 03:00:00,418.96,398.05
1998-01-28 04:00:00,415.41,371.64
1998-01-28 05:00:00,415.41,349.86
1998-01-28 06:00:00,408.38,384.64
1998-01-28 07:00:00,429.79,387.95
1998-01-28 08:00:00,440.87,371.64
1998-01-28 09:00:00,415.41,384.64
1998-01-28 10:00:00,415.41,387.95
1998-01-28 11:00:00,411.88,401.46
1998-01-28 12:00:00,444.63,448.41
1998-01-28 13:00:00,452.22,459.93
1998-01-28 14:00:00,475.71,517.34
1998-01-28 15:00:00,467.76,500.3
1998-01-28 16:00:00,581.2,576.41
1998-01-28 17:00:00,530.46,479.73
1998-01-28 18:00:00,526.05,508.75
1998-01-28 19:00:00,517.34,526.05
1998-01-28 20:00:00,521.68,539.37
1998-01-28 21:00:00,440.87,418.96
1998-01-28 22:00:00,475.71,459.93
1998-01-28 23:00:00,475.71,463.83
1998-01-29 00:00:00,371.64,368.45
1998-01-29 01:00:00,317.97,323.56
1998-01-29 02:00:00,326.39,307.05
1998-01-29 03:00:00,346.84,326.39
1998-01-29 04:00:00,329.24,329.24
1998-01-29 05:00:00,312.47,312.47
1998-01-29 06:00:00,309.75,307.05
1998-01-29 07:00:00,312.47,315.21
1998-01-29 08:00:00,312.47,293.88
1998-01-29 09:00:00,317.97,309.75
1998-01-29 10:00:00,309.75,293.88
1998-01-29 11:00:00,309.75,312.47
1998-01-29 12:00:00,304.37,315.21
1998-01-29 13:00:00,320.76,335.02
1998-01-29 14:00:00,459.93,483.78
1998-01-29 15:00:00,553.0,576.41
1998-01-29 16:00:00,557.61,576.41
1998-01-29 17:00:00,539.37,553.0
1998-01-29 18:00:00,526.05,534.9
1998-01-29 19:00:00,530.46,526.05
1998-01-29 20:00:00,539.37,534.9
1998-01-29 21:00:00,543.88,539.37
1998-01-29 22:00:00,513.03,517.34
1998-01-29 23:00:00,487.86,491.98
1998-01-30 00:00:00,440.87,452.22
1998-01-30 01:00:00,437.15,444.63
1998-01-30 02:00:00,433.46,440.87
1998-01-30 03:00:00,418.96,422.54
1998-01-30 04:00:00,408.38,411.88
1998-01-30 05:00:00,401.46,404.91
1998-01-30 06:00:00,378.09,384.64
1998-01-30 07:00:00,355.96,362.16
1998-01-30 08:00:00,340.88,355.96
1998-01-30 09:00:00,335.02,337.94
1998-01-30 10:00:00,362.16,365.29
1998-01-30 11:00:00,394.65,391.29
1998-01-30 12:00:00,394.65,408.38
1998-01-30 13:00:00,433.46,456.06
1998-01-30 14:00:00,456.06,479.73
1998-01-30 15:00:00,452.22,487.86
1998-01-30 16:00:00,426.15,437.15
1998-01-30 17:00:00,394.65,362.16
1998-01-30 18:00:00,349.86,332.12
1998-01-30 19:00:00,343.85,320.76
1998-01-30 20:00:00,332.12,329.24
1998-01-30 21:00:00,286.23,271.47
1998-01-30 22:00:00,273.88,233.34
1998-01-30 23:00:00,283.72,257.41
1998-01-31 00:00:00,262.02,248.4
1998-01-31 01:00:00,299.08,286.23
1998-01-31 02:00:00,304.37,307.05
1998-01-31 03:00:00,315.21,299.08
1998-01-31 04:00:00,304.37,299.08
1998-01-31 05:00:00,286.23,286.23
1998-01-31 06:00:00,291.31,286.23
1998-01-31 07:00:00,286.23,286.23
1998-01-31 08:00:00,288.76,291.31
1998-01-31 09:00:00,291.31,283.72
1998-01-31 10:00:00,307.05,296.47
1998-01-31 11:00:00,317.97,307.05
1998-01-31 12:00:00,315.21,304.37
1998-01-31 13:00:00,323.56,299.08
1998-01-31 14:00:00,301.72,276.31
1998-01-31 15:00:00,346.84,320.76
1998-01-31 16:00:00,335.02,312.47
1998-01-31 17:00:00,304.37,276.31
1998-01-31 18:00:00,273.88,246.2
1998-01-31 19:00:00,323.56,309.75
1998-01-31 20:00:00,381.35,381.35
1998-01-31 21:00:00,381.35,384.64
1998-01-31 22:00:00,384.64,381.35
1998-01-31 23:00:00,317.97,307.05
1998-02-01 00:00:00,276.31,286.23
